id,ingredient_id,calories,total_fat_in_grams,saturated_fat_in_grams,cholesterol_in_milligrams,sodium_in_milligrams,total_carbohydrates_in_grams,dietary_fiber_in_grams,sugar_in_grams,protein_in_grams,vitamin_a_in_iu,vitamin_c_in_milligrams,calcium_in_milligrams,iron_in_milligrams
1,1,336,1.26,0.331,0,16,60.03,10.6,6.9,23.52,50,1.5,110,8.27
2,2,41,0.24,0.037,0,69,9.58,2.8,4.74,0.93,16706,5.9,33,0.3
3,3,20,0.17,0.058,0,3,4.64,1.7,2.4,0.86,370,80.4,10,0.34
4,4,40,0.1,0.042,0,4,9.34,1.7,4.24,1.1,2,7.4,23,0.21
5,5,598,51.36,10.325,0,426,22.31,5,10.49,22.21,0,0,49,1.74
6,6,0,0,0,0,38758,0,0,0,0,0,0,24,0.33
7,7,0,0,0,0,4,0,0,0,0,0,0,3,0
14,14,88,1.95,0.204,0,278,13.49,4.4,,4.92,15,0.1,35,1.23
15,15,884,100,8.026,0,0,0,0,0,0,0,0,0,0
16,16,149,0.5,0.089,0,17,33.06,2.1,1,6.36,9,31.2,181,1.7
