id,name
1001,"Butter, salted"
1002,"Butter, whipped, with salt"
1003,"Butter oil, anhydrous"
1004,"Cheese, blue"
1005,"Cheese, brick"
1006,"Cheese, brie"
1007,"Cheese, camembert"
1008,"Cheese, caraway"
1009,"Cheese, cheddar"
1010,"Cheese, cheshire"
1011,"Cheese, colby"
1012,"Cheese, cottage, creamed, large or small curd"
1013,"Cheese, cottage, creamed, with fruit"
1014,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd"
1015,"Cheese, cottage, lowfat, 2% milkfat"
1016,"Cheese, cottage, lowfat, 1% milkfat"
1017,"Cheese, cream"
1018,"Cheese, edam"
1019,"Cheese, feta"
1020,"Cheese, fontina"
1021,"Cheese, gjetost"
1022,"Cheese, gouda"
1023,"Cheese, gruyere"
1024,"Cheese, limburger"
1025,"Cheese, monterey"
1026,"Cheese, mozzarella, whole milk"
1027,"Cheese, mozzarella, whole milk, low moisture"
1028,"Cheese, mozzarella, part skim milk"
1029,"Cheese, mozzarella, low moisture, part-skim"
1030,"Cheese, muenster"
1031,"Cheese, neufchatel"
1032,"Cheese, parmesan, grated"
1033,"Cheese, parmesan, hard"
1034,"Cheese, port de salut"
1035,"Cheese, provolone"
1036,"Cheese, ricotta, whole milk"
1037,"Cheese, ricotta, part skim milk"
1038,"Cheese, romano"
1039,"Cheese, roquefort"
1040,"Cheese, swiss"
1041,"Cheese, tilsit"
1042,"Cheese, pasteurized process, American, fortified with vitamin D"
1043,"Cheese, pasteurized process, pimento"
1044,"Cheese, pasteurized process, swiss"
1045,"Cheese food, cold pack, American"
1046,"Cheese food, pasteurized process, American, vitamin D fortified"
1047,"Cheese food, pasteurized process, swiss"
1048,"Cheese spread, pasteurized process, American"
1049,"Cream, fluid, half and half"
1050,"Cream, fluid, light (coffee cream or table cream)"
1052,"Cream, fluid, light whipping"
1053,"Cream, fluid, heavy whipping"
1054,"Cream, whipped, cream topping, pressurized"
1055,"Cream, sour, reduced fat, cultured"
1056,"Cream, sour, cultured"
1057,Eggnog
1058,"Sour dressing, non-butterfat, cultured, filled cream-type"
1059,"Milk, filled, fluid, with blend of hydrogenated vegetable oils"
1060,"Milk, filled, fluid, with lauric acid oil"
1061,"Cheese, American, nonfat or fat free"
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein"
1068,"Cream substitute, liquid, with lauric acid oil and sodium caseinate"
1069,"Cream substitute, powdered"
1070,"Dessert topping, powdered"
1071,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk"
1072,"Dessert topping, pressurized"
1073,"Dessert topping, semi solid, frozen"
1074,"Sour cream, imitation, cultured"
1076,"Milk substitutes, fluid, with lauric acid oil"
1077,"Milk, whole, 3.25% milkfat, with added vitamin D"
1078,"Milk, producer, fluid, 3.7% milkfat"
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
1080,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D"
1081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D"
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
1083,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D"
1084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D"
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
1086,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)"
1087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)"
1088,"Milk, buttermilk, fluid, cultured, lowfat"
1089,"Milk, low sodium, fluid"
1090,"Milk, dry, whole, with added vitamin D"
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D"
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D"
1093,"Milk, dry, nonfat, calcium reduced"
1094,"Milk, buttermilk, dried"
1095,"Milk, canned, condensed, sweetened"
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A"
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D"
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D"
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D"
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D"
1105,"Milk, chocolate beverage, hot cocoa, homemade"
1106,"Milk, goat, fluid, with added vitamin D"
1107,"Milk, human, mature, fluid"
1108,"Milk, indian buffalo, fluid"
1109,"Milk, sheep, fluid"
1110,"Milk shakes, thick chocolate"
1111,"Milk shakes, thick vanilla"
1112,"Whey, acid, fluid"
1113,"Whey, acid, dried"
1114,"Whey, sweet, fluid"
1115,"Whey, sweet, dried"
1116,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
1117,"Yogurt, plain, low fat, 12 grams protein per 8 ounce"
1118,"Yogurt, plain, skim milk, 13 grams protein per 8 ounce"
1119,"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce"
1120,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce"
1121,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce"
1122,"Yogurt, fruit, low fat, 11 grams protein per 8 ounce"
1123,"Egg, whole, raw, fresh"
1124,"Egg, white, raw, fresh"
1125,"Egg, yolk, raw, fresh"
1126,"Egg, yolk, raw, frozen, pasteurized"
1127,"Egg, yolk, raw, frozen, sugared, pasteurized"
1128,"Egg, whole, cooked, fried"
1129,"Egg, whole, cooked, hard-boiled"
1130,"Egg, whole, cooked, omelet"
1131,"Egg, whole, cooked, poached"
1132,"Egg, whole, cooked, scrambled"
1133,"Egg, whole, dried"
1134,"Egg, whole, dried, stabilized, glucose reduced"
1135,"Egg, white, dried, flakes, stabilized, glucose reduced"
1136,"Egg, white, dried, powder, stabilized, glucose reduced"
1137,"Egg, yolk, dried"
1138,"Egg, duck, whole, fresh, raw"
1139,"Egg, goose, whole, fresh, raw"
1140,"Egg, quail, whole, fresh, raw"
1141,"Egg, turkey, whole, fresh, raw"
1144,"Egg substitute, powder"
1145,"Butter, without salt"
1146,"Cheese, parmesan, shredded"
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)"
1152,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A"
1153,"Milk, canned, evaporated, with added vitamin A"
1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D"
1155,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D"
1156,"Cheese, goat, hard type"
1157,"Cheese, goat, semisoft type"
1159,"Cheese, goat, soft type"
1160,"Egg, yolk, raw, frozen, salted, pasteurized"
1161,"Cheese substitute, mozzarella"
1164,"Cheese sauce, prepared from recipe"
1165,"Cheese, mexican, queso anejo"
1166,"Cheese, mexican, queso asadero"
1167,"Cheese, mexican, queso chihuahua"
1168,"Cheese, low fat, cheddar or colby"
1169,"Cheese, low-sodium, cheddar or colby"
1171,"Egg, whole, raw, frozen, pasteurized"
1172,"Egg, white, raw, frozen, pasteurized"
1173,"Egg, white, dried"
1174,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D"
1175,"Milk, fluid, 1% fat, without added vitamin A and vitamin D"
1178,"Sour cream, reduced fat"
1179,"Sour cream, light"
1180,"Sour cream, fat free"
1182,"USDA Commodity, cheese, cheddar, reduced fat"
1184,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener"
1185,"Parmesan cheese topping, fat free"
1186,"Cheese, cream, fat free"
1187,"Yogurt, chocolate, nonfat milk"
1188,KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce
